tconst,primaryTitle,numVotes,movieId,imdbId,tmdbId
tt0111161,The Shawshank Redemption,2974165,318,tt0111161,278.0
tt0468569,The Dark Knight,2955094,58559,tt0468569,155.0
tt1375666,Inception,2622502,79132,tt1375666,27205.0
tt0137523,Fight Club,2403858,2959,tt0137523,550.0
tt0109830,Forrest Gump,2327063,356,tt0109830,13.0
tt0110912,Pulp Fiction,2282916,296,tt0110912,680.0
tt0816692,Interstellar,2218522,109487,tt0816692,157336.0
tt0133093,The Matrix,2110514,2571,tt0133093,603.0
tt0068646,The Godfather,2074630,858,tt0068646,238.0
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2065053,4993,tt0120737,120.0
tt0167260,The Lord of the Rings: The Return of the King,2035405,7153,tt0167260,122.0
tt1345836,The Dark Knight Rises,1877137,91529,tt1345836,49026.0
tt0114369,Se7en,1859237,47,tt0114369,807.0
tt0167261,The Lord of the Rings: The Two Towers,1835357,5952,tt0167261,121.0
tt1853728,Django Unchained,1747564,99114,tt1853728,68718.0
tt0172495,Gladiator,1698445,3578,tt0172495,98.0
tt0993846,The Wolf of Wall Street,1640236,106782,tt0993846,106646.0
tt0361748,Inglourious Basterds,1636063,68157,tt0361748,16869.0
tt0372784,Batman Begins,1617216,33794,tt0372784,272.0
tt0102926,The Silence of the Lambs,1597538,593,tt0102926,274.0
tt7286456,Joker,1566318,204698,tt7286456,475557.0
tt0120815,Saving Private Ryan,1537786,2028,tt0120815,857.0
tt1130884,Shutter Island,1509438,74458,tt1130884,11324.0
tt0108052,Schindler's List,1490903,527,tt0108052,424.0
tt0848228,The Avengers,1486364,89745,tt0848228,24428.0
tt0076759,Star Wars: Episode IV - A New Hope,1482999,260,tt0076759,11.0
tt0482571,The Prestige,1481712,48780,tt0482571,1124.0
tt0407887,The Departed,1457962,48516,tt0407887,1422.0
tt0120689,The Green Mile,1450740,3147,tt0120689,497.0
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1414041,1196,tt0080684,1891.0
tt0499549,Avatar,1411534,72998,tt0499549,19995.0
tt0071562,The Godfather Part II,1400141,1221,tt0071562,240.0
tt0209144,Memento,1353698,4226,tt0209144,77.0
tt0088763,Back to the Future,1347340,1270,tt0088763,105.0
tt4154796,Avengers: Endgame,1316646,122914,tt4154796,299534.0
tt0120338,Titanic,1316021,1721,tt0120338,597.0
tt2015381,Guardians of the Galaxy,1298406,112852,tt2015381,118340.0
tt0099685,Goodfellas,1295209,1213,tt0099685,769.0
tt0110413,Léon: The Professional,1278852,293,tt0110413,101.0
tt4154756,Avengers: Infinity War,1250447,122912,tt4154756,299536.0
tt0120382,The Truman Show,1242879,1682,tt0120382,37165.0
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,1241784,6539,tt0325980,22.0
tt0910970,WALL·E,1234787,60069,tt0910970,10681.0
tt0169547,American Beauty,1232342,2858,tt0169547,14.0
tt0266697,Kill Bill: Vol. 1,1226240,6874,tt0266697,24.0
tt0120586,American History X,1212374,2329,tt0120586,73.0
tt0103064,Terminator 2: Judgment Day,1207660,589,tt0103064,280.0
tt0434409,V for Vendetta,1200094,44191,tt0434409,752.0
tt1431045,Deadpool,1180776,122904,tt1431045,293660.0
tt0110357,The Lion King,1176601,364,tt0110357,8587.0
tt0114814,The Usual Suspects,1169591,50,tt0114814,629.0
tt1049413,Up,1157326,68954,tt1049413,14160.0
tt0371746,Iron Man,1151755,59315,tt0371746,1726.0
tt0086190,Star Wars: Episode VI - Return of the Jedi,1146064,1210,tt0086190,1892.0
tt0081505,The Shining,1142779,1258,tt0081505,694.0
tt1392190,Mad Max: Fury Road,1141534,122882,tt1392190,76341.0
tt0266543,Finding Nemo,1139532,6377,tt0266543,12.0
tt0264464,Catch Me If You Can,1134310,5989,tt0264464,640.0
tt0105236,Reservoir Dogs,1114171,1089,tt0105236,500.0
tt0112573,Braveheart,1112786,110,tt0112573,197.0
tt0338013,Eternal Sunshine of the Spotless Mind,1110597,7361,tt0338013,38.0
tt0119217,Good Will Hunting,1106964,1704,tt0119217,489.0
tt0114709,Toy Story,1099433,1,tt0114709,862.0
tt2267998,Gone Girl,1098039,112556,tt2267998,210577.0
tt0073486,One Flew Over the Cuckoo's Nest,1097216,1193,tt0073486,510.0
tt0107290,Jurassic Park,1096360,480,tt0107290,329.0
tt0477348,No Country for Old Men,1094504,55820,tt0477348,6977.0
tt0167404,The Sixth Sense,1079882,2762,tt0167404,745.0
tt0082971,Raiders of the Lost Ark,1057383,1198,tt0082971,85.0
tt2582802,Whiplash,1035967,112552,tt2582802,244786.0
tt1392170,The Hunger Games,1025427,91500,tt1392170,70160.0
tt6751668,Parasite,1014004,202439,tt6751668,496243.0
tt0198781,"Monsters, Inc.",1007439,4886,tt0198781,585.0
tt0268978,A Beautiful Mind,1007206,4995,tt0268978,453.0
tt0078748,Alien,994154,1214,tt0078748,348.0
